title,artist,url,mood
Sapphire,Ed Sheeran,https://youtu.be/JgDNFQ2RaLQ?si=M_JjnwzvIZ6RQMZj,happy
Viva La Vida,Coldplay,https://youtu.be/dvgZkm1xWPE,happy
Blue,Yung Kai(ft. Minnie),https://youtu.be/TqBa4XeUcRQ?si=DqSgyNZjzp8ofVg3,happy
It's You,Ali Gatie,https://youtu.be/F-cO2CMue4Q?si=AVLbCxEQG8HyqqtP,sad
Fix You,Coldplay,https://youtu.be/k4V3Mo61fJM,sad
Dancing with your ghost,Sasha Alex Sloan,https://youtu.be/lAJazaLrHfQ?si=YlzfH4GzeALMNpjf,sad
River Flows In You,Yiruma,https://youtu.be/7maJOI3QMu0,neutral
Weightless,Marconi Union,https://youtu.be/UfcAVejslrU,neutral
Winter Bear,V,https://youtu.be/pk7ESz6vtyA?si=twXesZL-BrwkEH83,neutral
Stronger,Kanye West,https://youtu.be/PsO6ZnUZI0g,angry
Believer,Imagine Dragons,https://youtu.be/7wtfhZwyrcc,angry
Fight song,Rachel Platten,https://youtu.be/xo1VInw-SKc?si=aWMC_r51ehXn65lZ,angry
